gameId,actionNumber,clock,period,teamId,teamTricode,personId,playerName,playerNameI,xLegacy,yLegacy,shotDistance,shotResult,isFieldGoal,scoreHome,scoreAway,pointsTotal,location,description,actionType,subType,videoAvailable,shotValue,actionId
0022300502,56,PT06M55.00S,1,0,,1610612743,,,0,0,0,,0,,,0,h,NUGGETS Timeout: Regular (Full 1 Short 0),Timeout,Regular,0,0,39
0022300502,90,PT03M33.00S,1,0,,1610612743,,,0,0,0,,0,,,0,h,NUGGETS Timeout: Regular (Full 2 Short 0),Timeout,Regular,0,0,65
0022300502,188,PT08M09.00S,2,0,,1610612743,,,0,0,0,,0,,,0,h,NUGGETS Timeout: Regular (Full 3 Short 0),Timeout,Regular,0,0,135
0022300502,214,PT06M21.00S,2,0,,1610612765,,,0,0,0,,0,,,0,v,Pistons Timeout: Regular (Reg.1 Short 0),Timeout,Regular,0,0,153
0022300502,241,PT04M50.00S,2,0,,1610612765,,,0,0,0,,0,,,0,v,Pistons Timeout: Regular (Reg.2 Short 0),Timeout,Regular,0,0,169
0022300502,348,PT09M08.00S,3,0,,1610612743,,,0,0,0,,0,,,0,h,NUGGETS Timeout: Regular (Full 4 Short 0),Timeout,Regular,0,0,250
0022300502,415,PT04M54.00S,3,0,,1610612765,,,0,0,0,,0,,,0,v,Pistons Timeout: Regular (Reg.3 Short 0),Timeout,Regular,0,0,298
0022300502,580,PT07M01.00S,4,0,,1610612743,,,0,0,0,,0,,,0,h,NUGGETS Timeout: Regular (Full 5 Short 0),Timeout,Regular,0,0,414
0022300502,618,PT04M25.00S,4,0,,1610612765,,,0,0,0,,0,,,0,v,Pistons Timeout: Regular (Reg.4 Short 0),Timeout,Regular,0,0,441
0012300013,71,PT05M24.00S,1,0,,12315,,,0,0,0,,0,,,0,h,REAL MADRID Timeout: Regular (Full 1 Short 0),Timeout,Regular,0,0,51
0012300013,127,PT01M37.00S,1,0,,1610612742,,,0,0,0,,0,,,0,v,Mavericks Timeout: Regular (Reg.1 Short 0),Timeout,Regular,0,0,88
0012300013,210,PT08M31.00S,2,0,,1610612742,,,0,0,0,,0,,,0,v,Mavericks Timeout: Regular (Reg.2 Short 0),Timeout,Regular,0,0,154
0012300013,242,PT07M09.00S,2,0,,12315,,,0,0,0,,0,,,0,h,REAL MADRID Timeout: Regular (Full 2 Short 0),Timeout,Regular,0,0,176
0012300013,417,PT09M36.00S,3,0,,12315,,,0,0,0,,0,,,0,h,REAL MADRID Timeout: Regular (Full 3 Short 0),Timeout,Regular,0,0,300
0012300013,481,PT05M49.00S,3,0,,1610612742,,,0,0,0,,0,,,0,v,Mavericks Timeout: Regular (Reg.3 Short 0),Timeout,Regular,0,0,351
0012300013,512,PT02M52.00S,3,0,,12315,,,0,0,0,,0,,,0,h,REAL MADRID Timeout: Regular (Full 4 Short 0),Timeout,Regular,0,0,376
0012300013,619,PT07M57.00S,4,0,,12315,,,0,0,0,,0,,,0,h,REAL MADRID Timeout: Regular (Full 5 Short 0),Timeout,Regular,0,0,449
0012300013,701,PT02M49.00S,4,0,,1610612742,,,0,0,0,,0,,,0,v,Mavericks Timeout: Regular (Reg.4 Short 0),Timeout,Regular,0,0,507
0012300013,722,PT01M03.00S,4,0,,1610612742,,,0,0,0,,0,,,0,v,Mavericks Timeout: Regular (Reg.5 Short 0),Timeout,Regular,0,0,525
0012300007,55,PT07M31.00S,1,0,,1610612763,,,0,0,0,,0,,,0,h,GRIZZLIES Timeout: Regular (Full 1 Short 0),Timeout,Regular,0,0,43
0012300007,101,PT04M38.00S,1,0,,1610612754,,,0,0,0,,0,,,0,v,Pacers Timeout: Regular (Reg.1 Short 0),Timeout,Regular,0,0,76
0012300007,144,PT02M06.00S,1,0,,1610612763,,,0,0,0,,0,,,0,h,GRIZZLIES Timeout: Regular (Full 2 Short 0),Timeout,Regular,0,0,105
0012300007,210,PT08M58.00S,2,0,,1610612754,,,0,0,0,,0,,,0,v,Pacers Timeout: Regular (Reg.2 Short 0),Timeout,Regular,0,0,156
0012300007,228,PT07M43.00S,2,0,,1610612763,,,0,0,0,,0,,,0,h,GRIZZLIES Timeout: Regular (Full 3 Short 0),Timeout,Regular,0,0,167
0012300007,329,PT02M14.00S,2,0,,1610612754,,,0,0,0,,0,,,0,v,Pacers Timeout: Regular (Reg.3 Short 0),Timeout,Regular,0,0,246
0012300007,442,PT07M17.00S,3,0,,1610612763,,,0,0,0,,0,,,0,h,GRIZZLIES Timeout: Regular (Full 4 Short 0),Timeout,Regular,0,0,328
0012300007,459,PT06M19.00S,3,0,,1610612754,,,0,0,0,,0,,,0,v,Pacers Timeout: Regular (Reg.4 Short 0),Timeout,Regular,0,0,340
0012300007,486,PT04M10.00S,3,0,,1610612763,,,0,0,0,,0,,,0,h,GRIZZLIES Timeout: Coach Challenge (Full 4 Short 0),Timeout,Coach Challenge,0,0,363
0012300007,630,PT07M37.00S,4,0,,1610612763,,,0,0,0,,0,,,0,h,GRIZZLIES Timeout: Regular (Full 5 Short 0),Timeout,Regular,0,0,464
0012300007,678,PT04M10.00S,4,0,,1610612754,,,0,0,0,,0,,,0,v,Pacers Timeout: Regular (Reg.5 Short 0),Timeout,Regular,0,0,501
0012300007,689,PT03M16.00S,4,0,,1610612754,,,0,0,0,,0,,,0,v,Pacers Timeout: Regular (Reg.6 Short 0),Timeout,Regular,0,0,511
0012300007,728,PT00M31.20S,4,0,,1610612763,,,0,0,0,,0,,,0,h,GRIZZLIES Timeout: Regular (Full 6 Short 0),Timeout,Regular,0,0,540
0012300007,739,PT00M03.20S,4,0,,1610612763,,,0,0,0,,0,,,0,h,GRIZZLIES Timeout: Regular (Full 7 Short 0),Timeout,Regular,0,0,549
0012300007,793,PT00M24.90S,5,0,,1610612754,,,0,0,0,,0,,,0,v,Pacers Timeout: Regular (Reg.7 Short 0),Timeout,Regular,0,0,587
0012300007,800,PT00M11.10S,5,0,,1610612754,,,0,0,0,,0,,,0,v,Pacers Timeout: Regular (Reg.8 Short 0),Timeout,Regular,0,0,593
